,Squared_error,sil_score,Cluster,time,homogeneity,Completeness,Adj_Mutual_info
0,42453.59765625,0.22624867,2,0.034493083017878234,0.024525700553962276,0.023944325002177403,0.024087690927408284
1,32517.669921875,0.27114844,3,0.09895804198458791,0.05142582915754805,0.038965160359642474,0.04409055531688783
2,29480.33203125,0.20113675,4,0.10381629201583564,0.05327423907598951,0.027542525315204885,0.036017727808147
3,27696.62890625,0.20937191,5,0.13413658295758069,0.05391947493096127,0.02644162595773371,0.035103209513186434
4,26042.78515625,0.16606624,6,0.14518233301350847,0.06728278453786016,0.02747611515304498,0.0386018571136022
5,24648.48828125,0.16896264,7,0.18351200001779944,0.0836445565815561,0.030430424251670835,0.044168602439978104
6,23430.26953125,0.1722156,8,0.1737551250262186,0.08507432780475219,0.030350458199844787,0.04421359633006546
7,22216.494140625,0.16073777,9,0.1860352089861408,0.09465757954480543,0.03106393861380178,0.04621115360705781
8,21413.890625,0.16276309,10,0.16036070801783353,0.10022020647727939,0.031163996901054807,0.04693359088835831
9,20504.83203125,0.15938988,11,0.1966957920230925,0.10261030342211741,0.0313117574559616,0.04731273196827991
10,19741.73046875,0.15905136,12,0.24782316602068022,0.10885065067025823,0.031366223487079015,0.04799601264065333
11,19169.173828125,0.15767154,13,0.21093687502434477,0.11143541152001434,0.03067322446612413,0.047364447552391276
12,18659.201171875,0.15254623,14,0.18788191699422896,0.11519579418374258,0.030513730578589606,0.047469132897982796
13,18226.96875,0.14695208,15,0.20748012501280755,0.1273325130429727,0.032483191203579974,0.05095196749980111
14,17789.85546875,0.15022981,16,0.2133708749897778,0.10880463784028914,0.02707895807305458,0.042506621044633944
15,17416.810546875,0.15209024,17,0.24823479098267853,0.10597398203113248,0.025785354995676912,0.04057713853379047
16,17033.76953125,0.14131379,18,0.21163483301643282,0.1231843041741255,0.029522250685108237,0.04668951186701854
17,16734.826171875,0.13898219,19,0.2301320840488188,0.11923888468365036,0.027866197014469348,0.04419778356966685
18,16365.056640625,0.14395499,20,0.30240083299577236,0.12728202182912987,0.029105759670147502,0.046366009888149505
19,16153.35546875,0.14121893,21,0.2621692910324782,0.11686723294440785,0.0263173085530149,0.041903838895687634
20,15777.859375,0.1435147,22,0.258312541001942,0.12703810066380697,0.02790942710997142,0.044680830548707466
21,15522.42578125,0.13778833,23,0.27243100001942366,0.12593106385791344,0.027192214817539237,0.0436059604775301
22,15286.6015625,0.1410609,24,0.3011579579906538,0.12040274067326463,0.02577860527108225,0.041298822599180496
23,15066.23828125,0.14126077,25,0.27285350003512576,0.13017132804199627,0.02763511544339346,0.04438356833474412
24,14933.96875,0.13830946,26,0.2945100839715451,0.12610708867010093,0.026886467761351247,0.04304896680542307
25,14657.7119140625,0.1418419,27,0.2959005829761736,0.13370819238476894,0.027665262783748278,0.044556635319502214
26,14529.291015625,0.13798507,28,0.28628425003262237,0.12803639769768438,0.026490271590141,0.04255201899332698
27,14378.8701171875,0.13557962,29,0.2727199580403976,0.13518964738170516,0.026874879032274767,0.04350441353443073
