,BIC,AIC,sil_score,Cluster,time,homogeneity,Completeness,Adj_Mutual_info
0,14517.116645274806,14334.581956617945,0.3767525596310024,2,0.145120166009292,0.4621753958552961,0.4621728966836805,0.4620771265363514
1,-29482.360403028604,-29759.309585818322,0.31829465020887443,3,0.20762145903427154,0.6756714171901534,0.44004544993477435,0.532844802386475
2,-41175.68750866583,-41547.05118558841,0.33197129452114,4,0.20139958296203986,0.6756722460472144,0.38611939397140627,0.49121464295082856
3,-43709.456306104046,-44175.23447715948,0.3146034610673777,5,0.7623246670118533,0.6780613417426028,0.3170761018119332,0.4318338211949059
4,-57042.16248920662,-57602.355154394914,0.2602941160471445,6,0.24483625002903864,0.6764469572117441,0.2706934162209422,0.3863415595196743
5,-56910.063375279,-57564.670534600154,0.19506902652189625,7,0.4471728329663165,0.6808250872105304,0.2632594117462455,0.379323248362565
6,-69295.52377384948,-70044.54542730348,0.23335025462604206,8,0.321786709013395,0.6772259462406112,0.24979632010283415,0.36453900589201527
7,-74747.35881446548,-75590.79496205234,0.23292494752612325,9,0.49252629099646583,0.677627183505242,0.24236627969285157,0.35654292603692767
8,-74823.93604061235,-75761.78668233208,0.25026855723863745,10,0.5565115829813294,0.682722486026502,0.2240681306513431,0.3368688566956548
9,-78274.28527494273,-79306.55041079532,0.24721880408733765,11,0.6602844999870285,0.6776380929147942,0.22921881356703475,0.34196065733230385
10,-79448.7377644708,-80575.41739445625,0.23552077815774072,12,0.5566277499892749,0.6928341979552388,0.21603109031331652,0.3287290094085909
11,-80079.9608790216,-81301.0550031399,0.27909621818975544,13,0.7449650420458056,0.6966741795004575,0.20173768578853565,0.3122049104816772
12,-78276.81056231033,-79592.31918056149,0.2403570952924614,14,0.7287525000283495,0.7809980280399818,0.22939310035438448,0.3539365059095257
13,-79666.11097829056,-81076.03409067457,0.2616467345636211,15,0.7439718329696916,0.7631168400210677,0.210235113426372,0.3289184594732978
14,-83285.07449612465,-84789.41210264154,0.25860027133624597,16,0.8736433329759166,0.7596091133683095,0.20219373919580372,0.31859844787276287
15,-83055.73691617603,-84654.48901682577,0.22169675026315558,17,0.9295739579829387,0.7472201807184234,0.19668170269642143,0.31056582594201626
16,-84920.1407587337,-86613.3073535163,0.2551168119084289,18,0.7581082499818876,0.7533587937515133,0.19330992627516183,0.30680078040940556
17,-88206.62568880535,-89994.2067777208,0.20890738441689857,19,0.8090714159770869,0.7228118970556974,0.18558922908615968,0.2944053268296994
18,-86579.14809749842,-88461.14368054672,0.2989099382636076,20,1.0452194169629365,0.7765040289339913,0.19800041920666783,0.31458254856723017
19,-87899.74804408156,-89876.15812126274,0.2981433886175688,21,1.0887041249661706,0.7811742911209667,0.1949131687592054,0.3109843999540964
20,-90264.99213923176,-92335.8167105458,0.21743151070629615,22,0.8727100829710253,0.7325053997393052,0.17755423099670778,0.2847640539722259
21,-89361.07294185474,-91526.31200730163,0.23890257481255786,23,0.7376543330028653,0.7201985351630233,0.17513856613142842,0.2806338097803431
22,-91587.67840100001,-93847.33196057976,0.2052402040226709,24,1.373899917001836,0.7154007735069192,0.16737948615489187,0.2701325248543419
23,-91289.48246340401,-93643.55051711662,0.23779289043507973,25,0.7974985420005396,0.7839508921523602,0.18573597947190132,0.29914988576257245
24,-93611.7300959047,-96060.21264375016,0.226033331546923,26,1.2484603750053793,0.72481119578935,0.16512380301538973,0.2677397125317625
25,-96018.00796580424,-98560.90500778257,0.23903646625988334,27,0.8941114579793066,0.7776270768750043,0.17594342073946231,0.2857115022815235
26,-95665.11666519417,-98302.42820130536,0.26792320975076833,28,0.7846817499957979,0.7813659110719472,0.17626421471826725,0.28635283577995885
27,-96368.83593908866,-99100.5619693327,0.2376523500144085,29,0.926926749991253,0.7324498656408728,0.16595226282223197,0.2692208739612321
