,Squared_error,sil_score,Cluster,time,homogeneity,Completeness,Adj_Mutual_info
0,48206.23134884528,0.38220577269705924,2,0.18434154201531783,0.7957432638010145,0.795832203428641,0.7957508906143085
1,42330.60615205303,0.3690149657175169,3,0.5363413330051117,0.7266888062784601,0.5306396824633712,0.6132619437009772
2,38842.803657014985,0.3099796327237114,4,0.16132929199375212,0.8106386112757261,0.501832255675819,0.6197490125090709
3,34264.70533288313,0.33295391889185016,5,0.45329662499716505,0.8044106652740186,0.43320703110235875,0.5629195546602269
4,31258.492916118557,0.3308300994318585,6,0.08376783295534551,0.823004155444763,0.3889920794676499,0.5280153811655539
5,29108.091190842315,0.2900131404113398,7,0.2525358750135638,0.8234074795129441,0.3324004089813351,0.4732815998488171
6,26487.187494488106,0.3054485697721319,8,0.09764720796374604,0.8165318767994217,0.3026084339562626,0.4411880437151369
7,24702.90984075555,0.3226120556569865,9,0.08213033300125971,0.8121739697628032,0.28428297337415726,0.420717413952921
8,23205.37357725465,0.3183033763324965,10,0.12300295900786296,0.7583308033360214,0.25185712967861634,0.3776251184076037
9,21804.523482445038,0.2867684530355082,11,0.23539870796957985,0.8099355183146746,0.248480404652025,0.37976506561107565
10,20181.99501269158,0.3412880620318577,12,0.273242041002959,0.8167955902071111,0.2465293333817631,0.37817110935513115
11,18442.192906751872,0.3260824912461499,13,0.21460808400297537,0.8174694459966327,0.23295126634383906,0.36196593039942115
12,17607.23187513015,0.3216542346552725,14,0.14061920897802338,0.819324425924736,0.22437003990051074,0.35161650151454904
13,16323.058832874005,0.3512036934698732,15,0.10150554100982845,0.8314447317867657,0.22611190281570942,0.35483730127260416
14,15374.228817322659,0.343995875672745,16,0.10716979199787602,0.8093337244409877,0.21003764038469716,0.33277485966065895
15,14627.037488086338,0.3597717937035322,17,0.13565499999094754,0.8154288876134694,0.2064021840448322,0.3286362117235858
16,13749.67165641257,0.3673230363936756,18,0.10457608394790441,0.804716636514731,0.197459165058661,0.3162792309976775
17,13343.121621772689,0.3739374039253792,19,0.12699208402773365,0.8214322174746135,0.19989542145995476,0.32067731602395516
18,12916.493581656212,0.3679888400375473,20,0.14133370900526643,0.8253527108941128,0.19747331248620176,0.31779027749767996
19,12173.428385449608,0.3955450618015235,21,0.15407329198205844,0.8472168735254028,0.1984267698488852,0.32061133006019493
20,11839.717992734048,0.3967466875165502,22,0.3827440830064006,0.8365857576106142,0.19365891075901862,0.31353133562352636
21,11275.097523071472,0.3958531868767447,23,0.16087420895928517,0.8548839496663893,0.19897383113178962,0.3217924736720746
22,10900.049303485823,0.3995614699611876,24,0.13387054100167006,0.8534237303896368,0.197401208586876,0.3195718488837006
23,10416.509755933243,0.41595411964489815,25,0.7304439579602331,0.8626259325157708,0.19440894145459278,0.31621304232232417
24,10075.412620320485,0.4137271490436841,26,0.15633337502367795,0.8678974400312732,0.1967889155316744,0.31969190121667396
25,9857.659678342094,0.41254064545926716,27,0.1751023749820888,0.8614015120280653,0.19026806914465566,0.31051375863064407
26,9463.902969509383,0.42123813817834965,28,0.14810770796611905,0.87000115700728,0.18904311367268545,0.30938969599632504
27,8868.160563443875,0.4356209969562001,29,0.17951533303130418,0.867396157883382,0.1904718275573098,0.31109308023615984
