,Squared_error,sil_score,Cluster,time,homogeneity,Completeness,Adj_Mutual_info
0,44104.71875,0.5575359,2,0.4521412919857539,0.014665734431553824,0.041343721350652764,0.021435382869464732
1,36095.421875,0.20150825,3,0.30779166700085625,0.020062608431977137,0.014825095127217072,0.01680122605226386
2,31093.8515625,0.20607296,4,0.7435539170401171,0.03943615852273988,0.02041765203412508,0.02660797269523467
3,28903.81640625,0.18893053,5,0.6602677080081776,0.03889348044406223,0.016679692171290735,0.022996774908341427
4,27165.6953125,0.17548954,6,0.29742641700431705,0.050254123682670654,0.018971541932399853,0.02714668360089288
5,25391.14453125,0.17881133,7,0.2796512079657987,0.046897434556501354,0.017536608666879352,0.025049514144304143
6,24316.4140625,0.17063628,8,0.7446312090032734,0.05272944734234978,0.01815290899519483,0.026484290855311832
7,23249.140625,0.16713047,9,0.2844868330284953,0.08733554194277053,0.027736875832616744,0.04154822373302006
8,22310.67578125,0.16619949,10,0.2128723330097273,0.06922648215383254,0.020976149746386553,0.03158893277087288
9,21563.52734375,0.1566574,11,0.26366383401909843,0.08966588174726134,0.02633651277766732,0.04006106972029667
10,20734.48046875,0.16397858,12,0.32624333299463615,0.09506815069406863,0.026870618067556574,0.04120187850851549
11,20033.453125,0.16366759,13,0.32222854101564735,0.09780088824726944,0.026771332029560495,0.04129418042594444
12,19380.880859375,0.15855661,14,0.3681121250265278,0.08797788308668664,0.023408416742964757,0.036188585708558645
13,18909.80859375,0.16098095,15,0.6226927079842426,0.10354614552930301,0.026839926909648055,0.041801437859387426
14,18417.064453125,0.15558138,16,0.3941717499983497,0.0976432369922323,0.024145397103490833,0.03785933575058046
15,17955.62890625,0.15457067,17,0.7345877919578925,0.10196698211331065,0.024695355162785797,0.03886243202999627
16,17590.482421875,0.15092452,18,0.43824816698906943,0.10330727292999974,0.024827260685313438,0.03908363304715713
17,17196.50390625,0.15238099,19,0.4899507080554031,0.1146773436867326,0.026452958856584118,0.042020914313324095
18,16843.642578125,0.14550756,20,0.4348934160079807,0.10757143463353033,0.024673717727613814,0.03911940296849092
19,16514.65234375,0.14168943,21,0.43517429201165214,0.11043470797187344,0.025247639939348268,0.04001597306318819
20,16293.07421875,0.14538315,22,0.4413309170049615,0.11409930419789335,0.025338971645104787,0.04037056207327243
21,15864.1787109375,0.1529297,23,0.45812895795097575,0.11558081432987953,0.02581304697345773,0.04103925068931588
22,15703.826171875,0.14221482,24,0.36837658303556964,0.12149817349945076,0.02652885881339294,0.04235995974404453
23,15449.6806640625,0.14201981,25,0.4004879589774646,0.12277921773897776,0.02658448966677895,0.04246653681403362
24,15188.1240234375,0.14176969,26,0.453919958032202,0.12096037561044692,0.025570647570882416,0.0409503651225035
25,14948.509765625,0.14301004,27,0.42624141700798646,0.11575624157375954,0.024318791983000715,0.038878253290318576
26,14746.681640625,0.1385433,28,0.4264121250016615,0.11488668986754576,0.023761123902070153,0.038030974640063185
27,14451.08203125,0.1435905,29,0.5198911249754019,0.12016617677033962,0.024825954322238542,0.039743788842057225
