,BIC,AIC,sil_score,Cluster,time,homogeneity,Completeness,Adj_Mutual_info
0,144848.13896163084,144527.14871438342,0.3100441,2,0.4818730420083739,0.022507062891108803,0.04070268032441194,0.0287992714448642
1,142436.54826089754,141951.78747934022,0.067083694,3,1.0079900409909897,0.07621041430425056,0.054692181689184494,0.06344909609347346
2,141032.72900892937,140384.19769306213,0.077752694,4,0.9950122089940123,0.08070213429577501,0.05037107177960137,0.061704154009117385
3,138298.76395317592,137486.46210299878,0.05046151,5,1.0228434579912573,0.04484395234757621,0.022616467105213426,0.029679740918460144
4,136914.6234561276,135938.55107164057,0.053147044,6,1.0917100830120035,0.07831919507624319,0.03405041539487849,0.0470334179466441
5,135603.940294119,134464.09737532208,0.06404283,7,1.575901874981355,0.10695589429413108,0.0406491599765726,0.05844468799523609
6,133923.3935004724,132619.78004736555,0.037933435,8,1.0688681669998914,0.08570810423660381,0.030865961804461904,0.04485762872089739
7,133199.72726433966,131732.3432769229,0.038659662,9,1.6222217499744147,0.10910182275992152,0.035925463346599,0.053491710651526615
8,133006.025644574,131374.8711228473,0.040476397,10,1.9716581670218147,0.11382108311732564,0.0349596853922409,0.05289046373475181
9,132555.63136144428,130760.7063054077,0.02454033,11,2.259639916999731,0.09957279732841855,0.02908802636219361,0.04437658583643041
10,131881.7481442796,129923.05255393313,0.034104917,12,2.475478457985446,0.1278983520906002,0.03554549873639107,0.05495438471220065
11,131601.72883251487,129479.26270785849,0.016963044,13,2.1430267079849727,0.11038416501055016,0.031252518696748735,0.04794105652426088
12,131171.3553147868,128885.11865582052,0.0137699125,14,2.6954518749844283,0.10450901063677996,0.029544127160623032,0.045228732480735806
13,130916.58944949509,128466.5822562189,0.028307114,15,2.6768468340160325,0.11955495877796829,0.03126589156648534,0.04872537527987283
14,130238.94926011504,127625.17153252896,-0.0004940885,16,3.044061499997042,0.14104799700457088,0.035206786862984625,0.05550101788050754
15,130049.45370406735,127271.90544217135,0.021519924,17,2.4670833330019377,0.13919985040984104,0.03409996060688952,0.05388815045080783
16,130013.91890565913,127072.60010945323,0.015649559,18,3.958149041980505,0.13673142101109925,0.0333880945484996,0.05270844146599109
17,129500.36102374642,126395.2716932306,0.013300724,19,2.5328248749719933,0.1440490438869512,0.034422692721712556,0.05456846511897157
18,129261.54249825972,125992.682633434,0.0008632344,20,2.5288290840107948,0.14169121661630107,0.03284591857152233,0.052299733490330895
19,129137.05437353613,125704.4239744005,-0.009169888,21,2.67062787496252,0.16117157445795455,0.03766949030427001,0.05998423806629602
20,128579.84055665336,124983.43962320784,-0.006312335,22,2.940590041980613,0.1574402137710142,0.03629942562981366,0.05787108102485543
21,128557.65116462625,124797.47969687083,-0.0068068164,23,3.54797991696978,0.16036111661454358,0.036585194330818686,0.058409547290822164
22,128448.90122016668,124524.95921810134,-0.010347477,24,2.7754875839455053,0.15929468724206003,0.03461911718636514,0.055701454466169274
23,128383.10521828917,124295.39268191393,0.0026523354,25,3.684512250008993,0.16273021709138535,0.03580141883704843,0.05745177095457023
24,128069.929994227,123818.44692354185,-0.0032701797,26,2.71961037494475,0.169855083079736,0.03643167539030316,0.058735686087679956
25,128095.16658846123,123679.91298346617,-0.0028376025,27,3.0102201250265352,0.16573341141657777,0.035002942241433695,0.056502557982897626
26,127888.29902924184,123309.27488993687,0.0057452256,28,3.417708249995485,0.16213266944291665,0.034232027986524166,0.05518105561375799
27,128176.68871451398,123433.89404089912,-0.020763393,29,3.418537416961044,0.16334800432497174,0.03462306843586046,0.055721021932781986
