,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1,1,1,1,0,0,7,2,7,2,11,2,10,0,15,13,12,14,18,19,18,8,0,19,15,11,25,16
1,0,2,3,0,3,5,4,3,3,4,9,6,3,4,2,5,4,11,2,5,17,18,19,3,7,21,13,23
2,1,2,3,3,4,4,0,4,6,6,5,12,4,2,13,6,11,12,8,15,7,19,6,5,2,23,17,15
3,1,2,3,3,4,4,0,4,6,6,0,8,9,7,3,8,6,5,14,2,6,0,10,13,8,6,7,28
4,0,0,0,2,1,2,3,6,5,7,4,1,12,10,9,2,5,18,9,13,15,6,20,0,12,12,20,25
5,1,1,1,1,0,0,7,2,7,2,11,2,10,0,10,13,9,7,1,8,11,16,23,1,10,2,2,11
6,1,1,1,1,5,6,6,7,1,8,3,9,13,5,1,15,2,16,7,3,19,9,14,2,0,18,15,19
7,0,2,3,0,3,5,4,3,3,4,9,6,3,4,2,5,4,11,2,5,17,18,19,3,7,21,13,27
8,1,1,2,4,2,0,7,8,8,5,1,0,8,12,7,3,3,14,10,4,3,5,7,6,25,25,10,16
9,0,0,0,2,1,1,5,1,2,3,2,4,0,13,0,9,15,17,13,6,9,13,13,23,1,26,1,3
10,1,2,3,3,4,4,0,4,6,6,0,5,9,2,13,6,11,12,15,7,16,10,18,22,19,15,16,15
11,1,1,2,4,5,3,2,5,4,0,8,3,1,6,11,4,10,2,17,20,10,7,2,21,13,10,19,17
12,1,2,3,3,4,4,0,4,6,6,0,5,9,7,3,8,6,5,5,7,16,10,18,22,19,19,16,28
13,1,1,1,1,5,6,6,7,1,8,3,9,13,5,1,15,2,1,7,3,8,2,14,7,0,18,8,19
14,0,0,0,2,1,2,3,6,5,7,4,1,12,10,9,2,5,18,9,13,15,20,20,0,11,12,20,5
15,1,2,3,3,4,4,0,4,6,6,0,5,9,2,13,6,11,12,15,7,16,10,18,22,19,15,16,15
16,1,1,2,4,5,6,6,5,4,0,8,3,1,6,11,4,10,16,17,20,10,7,2,21,13,10,19,17
17,0,0,0,2,1,2,3,6,5,7,4,1,12,10,9,2,5,18,9,13,15,20,20,0,12,12,20,5
18,0,0,0,2,1,1,5,1,2,3,2,4,0,13,0,9,15,17,13,6,9,13,13,23,1,26,1,3
19,1,1,2,4,2,3,2,5,4,0,8,3,1,6,12,14,16,13,19,14,20,14,21,21,13,0,19,17
20,1,1,1,1,5,6,6,7,1,8,3,9,13,11,1,0,14,16,7,12,21,11,15,16,3,8,8,2
21,1,1,1,1,0,0,7,2,7,2,11,2,10,0,10,13,9,7,1,8,11,16,23,1,10,2,2,11
22,1,1,1,1,0,0,7,2,0,9,10,10,11,14,15,7,12,10,18,19,13,8,16,14,20,22,25,20
23,1,2,3,3,4,4,0,4,6,6,5,12,4,2,13,6,11,12,15,15,7,19,6,15,21,15,0,14
24,0,2,3,0,3,5,4,3,3,4,9,6,3,4,2,5,4,11,2,5,17,18,19,3,7,21,13,27
25,0,0,0,2,1,2,5,1,2,1,6,7,2,3,6,12,17,8,0,1,2,3,5,12,24,7,22,0
26,0,0,0,2,1,2,3,6,5,7,4,1,12,10,9,2,5,18,9,13,15,20,20,0,11,12,20,5
27,0,0,0,2,1,1,5,1,2,3,2,4,0,13,0,9,15,17,13,6,9,13,13,23,1,26,1,3
28,1,1,2,4,2,3,2,5,4,0,8,3,5,6,11,4,10,2,4,20,19,9,2,2,23,10,15,13
29,1,1,1,1,5,6,6,7,1,8,3,9,13,11,1,0,2,16,7,3,8,2,4,7,0,8,8,1
30,1,1,2,4,2,3,2,5,4,0,8,3,1,6,11,4,10,2,17,20,10,7,2,21,13,10,19,17
31,1,1,1,1,0,0,7,2,7,2,11,2,10,0,10,13,9,7,1,8,11,16,23,1,10,11,2,11
32,0,0,0,2,1,1,5,1,0,3,10,10,6,9,4,1,1,15,3,9,12,12,9,20,1,17,26,3
33,0,0,0,2,1,2,5,1,0,1,10,10,6,9,4,1,1,15,3,9,12,12,9,20,6,1,26,7
34,1,1,2,4,2,3,1,8,8,5,1,0,8,12,7,3,3,4,10,10,3,1,8,18,16,14,9,6
35,1,1,1,1,5,6,6,5,4,8,8,3,1,6,11,0,14,16,17,12,21,11,15,16,3,5,3,2
36,0,0,0,2,1,2,3,6,5,7,4,7,12,10,9,12,17,8,0,13,2,6,20,0,12,7,20,25
37,0,0,0,2,1,1,3,6,0,9,10,10,6,9,4,1,1,15,3,9,12,15,9,11,5,13,24,21
38,0,2,3,0,3,5,4,3,3,4,9,6,3,4,2,5,4,11,2,5,17,18,19,3,7,21,13,27
39,1,2,3,3,4,4,0,4,6,6,0,8,9,7,3,8,6,5,14,2,6,0,10,13,8,6,7,8
40,0,0,0,2,1,2,3,6,5,7,4,1,12,10,9,2,5,18,9,13,15,20,20,0,12,12,20,5
41,1,1,1,1,5,6,6,7,1,8,3,9,13,11,1,0,2,1,7,3,8,2,4,7,0,8,8,1
42,1,1,1,1,0,0,7,8,8,5,1,2,10,12,10,3,3,14,1,8,18,5,0,19,15,11,10,11
43,0,0,0,2,1,2,5,1,2,1,6,7,2,3,6,12,17,8,0,1,2,3,5,12,24,7,22,0
44,1,2,3,3,4,4,0,4,6,6,5,12,4,2,5,6,11,12,8,15,7,19,6,5,2,23,17,15
45,1,1,2,4,2,3,2,8,8,5,1,0,8,12,7,3,3,14,10,4,3,5,7,6,9,25,10,12
46,0,0,0,2,1,1,3,6,5,3,2,1,0,1,14,16,7,0,11,17,4,15,1,4,22,4,12,10
47,0,0,2,4,2,3,1,0,9,10,7,11,5,8,8,11,0,9,4,10,19,9,8,10,23,9,5,18
48,0,0,0,2,0,0,7,2,9,2,11,2,7,3,15,10,13,3,6,16,1,22,12,18,16,16,18,26
49,0,0,0,2,1,1,5,1,2,3,2,4,0,13,0,9,15,17,13,6,5,13,13,10,14,26,1,3
50,1,1,2,4,2,3,2,5,4,0,8,3,5,6,11,4,10,2,4,10,19,9,8,2,23,10,15,13
51,0,0,0,2,1,2,3,6,0,1,6,7,2,3,6,7,17,8,0,1,2,21,5,12,6,1,6,7
52,0,0,0,2,1,1,3,6,5,3,2,4,0,1,14,16,7,0,11,17,4,15,1,4,22,4,12,10
53,0,0,0,2,1,1,3,6,5,3,2,1,0,1,14,16,7,0,11,17,4,15,1,4,22,4,12,10
54,1,1,2,4,2,3,2,5,4,0,8,3,1,6,11,4,10,2,17,20,10,7,11,21,13,10,3,17
55,0,0,0,2,1,1,1,0,9,10,7,11,7,8,8,10,13,4,16,16,5,1,7,18,16,16,18,6
56,1,1,2,4,2,3,2,5,4,0,8,3,5,6,11,4,10,2,4,20,10,9,2,2,23,10,15,13
57,1,1,2,4,2,3,2,5,8,5,1,3,1,12,11,3,14,16,17,12,21,11,15,16,3,5,3,2
58,0,0,2,4,2,3,2,5,0,9,10,10,5,14,12,14,16,13,19,14,20,14,21,24,5,0,24,21
59,0,0,0,2,1,2,3,6,5,7,4,1,12,10,9,2,5,18,9,13,15,20,20,0,12,12,20,5
60,0,0,0,2,1,1,1,0,9,10,7,11,7,8,8,11,0,9,16,11,5,17,17,10,14,9,5,18
61,1,1,2,4,2,3,1,8,8,5,1,11,5,12,7,3,0,4,4,10,19,1,8,18,16,14,9,6
62,0,0,0,2,1,1,5,8,0,9,10,10,6,9,4,1,1,15,3,9,12,12,9,20,25,17,26,16
63,1,2,3,3,4,4,0,4,6,6,0,5,9,7,3,8,6,5,5,7,16,10,18,22,19,19,16,28
64,0,0,0,2,1,2,3,6,5,7,4,1,12,10,9,2,5,18,9,13,15,20,20,0,11,12,20,5
65,0,0,0,2,1,1,1,0,9,10,7,11,7,8,8,11,13,4,16,10,5,1,7,10,14,14,9,6
66,0,0,0,2,1,2,3,6,5,7,4,1,12,10,9,2,5,18,9,13,15,20,20,0,11,12,20,5
67,0,0,0,2,1,2,5,1,2,1,6,7,2,3,6,10,13,3,0,16,2,3,5,12,24,16,18,26
68,0,0,0,2,1,2,1,0,9,10,7,11,7,8,8,11,0,9,16,11,14,17,17,9,4,9,11,18
69,0,2,3,0,3,5,4,3,3,4,5,12,4,2,13,6,11,12,8,15,7,19,22,5,2,23,17,23
70,0,0,0,2,1,2,5,1,2,1,6,7,2,3,6,12,17,8,0,1,2,3,5,12,24,7,22,0
71,1,1,2,4,5,6,6,5,4,0,8,3,1,6,11,4,10,16,17,20,10,7,2,21,13,10,19,17
72,1,1,1,1,0,0,7,2,7,2,11,2,10,0,10,13,14,16,1,12,21,11,15,16,3,5,2,2
73,0,0,0,2,5,2,3,6,5,7,4,1,12,10,9,7,5,18,9,13,15,21,20,17,11,12,6,5
74,1,1,1,1,5,6,6,7,1,8,3,11,5,5,8,15,0,9,6,11,19,9,14,9,4,18,11,19
75,0,2,3,0,3,5,4,3,3,4,9,6,3,4,2,5,4,6,12,18,0,4,3,8,18,20,23,9
76,0,0,0,2,1,1,3,6,5,7,2,1,0,1,14,16,7,0,11,17,4,15,1,4,22,4,12,10
77,1,1,2,4,2,3,2,5,4,0,8,3,1,14,12,14,16,13,19,14,20,14,21,16,17,0,14,22
78,1,1,2,4,0,0,7,8,8,5,1,0,8,12,7,3,3,14,10,4,18,5,0,19,15,11,10,12
79,1,1,1,1,0,0,7,2,7,2,11,2,10,0,10,13,9,7,6,0,1,22,12,1,10,24,21,24
80,0,0,0,2,1,2,5,1,2,1,6,7,2,3,6,12,17,8,0,1,2,3,5,12,24,7,22,0
81,0,2,3,0,3,5,4,3,3,4,9,6,3,4,2,5,4,6,12,18,0,4,3,8,18,20,23,9
82,1,1,1,1,5,6,6,7,1,8,3,9,13,11,1,0,14,1,7,12,21,2,4,7,0,2,8,1
83,0,0,0,2,1,1,5,1,2,3,2,4,0,13,0,9,15,17,13,6,5,13,13,10,14,26,1,3
84,0,0,0,2,1,1,3,6,0,9,10,10,6,1,4,1,7,0,11,17,4,15,9,4,5,13,24,21
85,1,1,2,4,2,0,2,8,8,9,1,0,8,14,12,14,16,13,19,14,20,14,21,24,25,0,14,16
86,1,1,2,4,0,0,7,8,8,5,1,0,8,12,7,3,3,14,10,4,18,5,0,19,15,11,10,12
87,0,0,0,2,1,2,5,1,2,1,6,7,2,3,6,12,17,8,0,1,2,3,5,12,24,7,22,25
88,0,0,0,2,1,0,1,0,9,10,7,11,7,8,8,10,13,3,16,16,14,1,17,18,16,16,18,26
89,1,1,1,1,5,6,6,7,1,8,3,9,11,14,12,0,14,16,19,12,21,11,15,17,17,5,27,22
90,0,0,0,2,1,1,5,1,0,9,10,10,6,9,4,1,1,15,3,9,12,12,9,20,6,17,26,21
91,0,0,0,2,1,1,3,6,5,3,2,4,0,1,14,16,7,0,11,17,4,15,1,4,22,4,12,10
92,1,1,2,4,2,3,2,8,8,5,1,0,8,12,7,3,14,16,10,12,21,11,15,16,3,5,3,2
93,0,2,3,0,3,5,4,3,3,4,9,6,3,4,2,5,4,11,2,5,17,18,19,3,7,21,13,27
94,1,1,1,1,0,0,7,2,7,2,11,2,11,0,15,13,12,10,18,19,13,8,16,14,20,22,25,20
95,1,1,2,4,2,3,2,8,8,5,1,0,5,12,7,3,3,4,4,10,3,1,8,6,9,14,9,6
96,1,1,1,1,0,0,7,2,7,2,11,2,10,0,10,13,9,7,1,8,18,16,0,19,15,11,2,11
97,1,1,1,1,5,6,6,7,1,8,3,9,13,11,1,0,2,1,7,3,8,2,4,7,0,8,8,1
98,0,2,3,0,3,5,4,3,3,4,9,6,3,4,2,5,4,6,12,18,0,4,3,8,18,20,23,9
