,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1,2,3,1,4,0,1,7,1,8,11,2,2,13,14,2,14,2,15,5,20,10,13,7,2,11,10,26
1,0,1,0,0,5,3,2,2,9,0,8,0,7,11,10,0,6,17,9,6,4,1,6,0,1,18,27,24
2,0,1,1,3,3,4,0,4,0,1,7,1,13,1,12,16,10,0,16,1,1,14,16,13,14,26,8,13
3,1,2,3,1,4,0,1,1,6,10,3,11,12,9,7,4,3,5,16,15,12,22,16,6,23,9,9,17
4,1,2,3,1,4,0,1,1,6,10,3,11,12,9,7,4,3,5,16,15,12,22,16,6,23,9,9,17
5,0,1,1,3,3,4,0,4,0,1,7,1,13,1,12,16,10,0,16,1,1,14,16,13,14,26,8,13
6,0,1,0,0,5,3,2,2,9,0,0,8,10,6,4,9,15,6,9,6,4,4,6,1,10,15,0,27
7,1,2,3,1,4,0,1,7,1,8,11,2,2,13,14,2,14,2,15,5,20,10,13,7,2,11,10,26
8,0,1,0,0,5,3,2,2,9,0,8,0,7,11,10,0,6,17,9,6,4,1,6,0,1,18,27,24
9,0,1,1,3,3,4,0,4,0,1,7,1,13,1,12,16,10,0,8,3,9,6,5,9,25,19,8,3
10,0,1,1,3,3,4,0,4,0,1,7,5,13,1,3,12,10,0,12,3,6,21,0,16,4,14,13,20
11,0,1,1,3,3,4,0,4,0,1,7,1,13,1,12,12,10,0,12,3,6,21,0,16,4,14,8,20
12,0,1,1,3,3,4,0,4,0,1,9,9,4,12,13,10,7,1,8,17,16,2,1,5,18,25,21,25
13,0,1,0,0,2,2,7,6,2,5,8,0,7,11,10,0,6,7,6,16,10,17,7,18,17,22,14,23
14,1,2,3,1,4,0,1,7,4,2,5,6,0,3,11,11,1,4,17,18,21,18,8,2,9,12,6,2
15,0,1,0,0,2,1,4,6,2,5,9,9,4,0,8,5,2,17,8,0,5,2,21,5,16,18,21,16
16,0,1,0,0,2,3,2,2,9,0,0,8,10,6,0,7,4,13,10,14,0,15,18,19,0,21,15,1
18,0,1,1,3,3,4,0,4,0,1,7,5,1,14,3,1,12,10,8,19,13,6,5,23,18,25,17,19
19,1,2,3,1,5,3,2,2,9,0,0,8,10,6,4,9,15,6,9,9,4,4,6,1,10,15,1,22
20,0,1,0,0,2,1,4,8,5,4,1,10,3,8,8,1,13,8,2,8,17,16,10,17,12,24,3,19
21,0,1,1,3,3,1,4,8,5,4,1,10,1,0,3,1,2,17,14,19,5,2,21,23,16,1,22,28
22,0,1,0,0,2,2,7,6,2,5,8,0,7,11,10,0,6,7,6,16,10,17,7,18,1,22,14,23
23,0,1,1,3,5,3,2,2,9,0,0,8,10,6,0,9,4,13,10,1,0,15,22,19,0,21,0,27
24,0,1,0,0,5,2,7,6,2,5,8,0,7,11,10,0,6,7,6,16,10,1,7,0,1,18,27,24
25,1,2,3,1,4,0,1,1,6,10,3,11,12,4,7,4,3,5,7,4,12,22,12,24,23,9,9,17
26,0,1,0,0,2,2,7,6,2,5,8,0,7,11,10,0,6,7,6,16,10,17,7,0,1,22,14,23
27,1,2,3,1,5,2,7,6,2,5,8,0,7,11,6,0,6,7,6,16,10,1,7,0,11,5,14,11
28,0,1,1,3,3,4,0,4,0,1,7,5,1,14,12,16,2,0,8,3,9,6,5,9,25,19,8,3
29,0,1,1,3,3,4,0,4,0,1,9,9,4,12,13,10,7,1,18,17,16,7,1,5,18,25,2,25
30,1,2,3,1,4,0,1,7,4,8,5,1,2,13,11,2,1,16,16,1,1,14,16,13,14,26,19,13
31,0,1,1,3,3,4,0,4,0,1,7,5,7,0,12,5,2,17,8,6,5,1,21,0,16,18,27,24
32,0,1,1,3,3,4,0,4,0,1,7,5,1,0,3,16,2,17,8,19,5,2,21,9,16,19,17,28
34,1,2,3,1,5,3,2,2,9,8,0,2,2,13,6,14,3,15,4,10,15,12,2,1,22,16,24,0
35,0,1,1,3,3,4,0,4,0,1,7,5,1,14,3,1,12,10,14,19,13,6,5,9,7,19,3,19
36,0,1,0,0,5,3,2,2,9,0,0,8,10,6,4,9,4,6,9,6,0,4,6,19,0,21,0,27
37,0,1,1,3,3,1,4,8,5,4,1,10,1,14,3,1,12,10,14,19,13,19,14,23,7,1,3,19
38,1,2,3,1,4,0,1,7,1,8,11,2,2,13,14,2,14,2,15,5,20,10,13,7,2,11,10,21
39,1,2,3,1,4,0,1,7,1,8,11,2,2,13,14,2,14,2,15,5,20,10,13,7,2,11,10,21
40,1,2,3,4,0,6,5,3,7,9,10,12,11,10,9,15,16,14,13,12,14,8,4,12,13,10,20,6
41,1,2,3,4,0,6,5,3,7,9,10,12,11,10,9,15,16,14,13,12,14,8,4,12,13,10,20,6
42,1,2,3,1,5,3,2,2,9,0,0,8,10,9,4,9,15,6,16,1,4,4,6,4,10,7,0,22
43,0,1,0,0,5,2,7,6,2,5,8,0,7,9,1,9,15,12,1,9,4,20,20,0,10,7,1,14
44,0,1,0,0,5,2,7,6,2,5,8,0,7,11,1,9,15,12,1,9,4,20,20,0,10,7,1,14
45,0,1,1,3,5,2,7,4,0,1,9,9,4,9,1,16,0,12,8,17,4,20,20,14,18,3,17,14
46,1,2,3,1,5,2,2,1,6,10,3,11,12,4,7,4,3,5,7,9,12,9,12,24,23,15,1,22
47,1,2,3,1,5,3,2,1,6,10,3,11,12,4,7,4,3,5,7,9,12,9,12,24,23,15,1,22
48,1,2,3,1,5,3,2,2,9,0,0,8,10,9,4,9,15,6,16,1,4,4,6,4,10,7,0,22
49,1,2,0,0,5,2,7,6,2,5,8,0,7,11,10,0,6,7,6,16,10,1,7,0,1,5,27,24
50,0,1,0,0,2,2,7,6,2,5,8,0,7,0,1,6,0,12,1,8,19,20,10,11,5,3,12,8
51,0,1,0,0,2,2,7,6,2,5,8,0,7,11,10,6,6,7,6,16,10,17,7,11,17,18,21,16
52,0,1,0,0,2,1,4,6,5,5,8,0,7,0,8,5,2,17,2,0,5,2,21,8,16,18,22,10
