,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1,0,0,3,0,1,0,0,5,2,7,1,10,12,7,6,10,15,0,17,2,17,9,22,21,2,17,28
1,1,1,2,0,1,1,6,1,0,6,3,10,2,1,9,11,14,18,17,6,21,6,22,2,18,6,6,0
2,1,0,2,0,2,5,1,7,0,6,3,7,7,6,15,16,2,16,9,0,0,0,1,24,3,0,26,17
3,1,0,0,3,0,2,3,8,8,5,4,3,12,2,5,8,13,1,2,2,17,20,12,17,6,17,16,19
4,1,0,0,3,0,2,3,8,8,5,4,3,12,2,5,8,13,1,2,2,17,20,12,17,6,17,16,19
5,1,0,2,0,2,5,1,7,0,6,3,7,7,6,15,16,2,16,9,0,0,0,1,24,3,0,26,17
6,1,0,2,0,1,1,6,1,0,6,3,4,2,1,8,11,17,0,17,6,6,6,22,20,18,6,6,9
7,1,0,0,3,0,1,0,0,5,2,7,1,10,12,7,6,10,15,0,17,2,17,9,22,21,2,17,28
8,1,1,2,0,1,1,6,1,0,6,3,10,2,1,9,11,14,18,17,6,21,6,22,2,18,6,6,0
9,1,1,2,0,2,5,1,7,7,7,6,7,7,6,15,16,2,16,9,0,0,0,1,24,3,0,0,17
10,1,1,2,0,2,5,1,7,7,6,6,7,7,6,15,16,2,16,9,0,0,0,1,24,3,0,0,17
11,1,1,2,0,2,5,1,7,0,6,2,7,7,6,15,16,2,16,9,0,0,0,1,5,3,0,0,17
12,1,1,2,0,2,5,2,7,1,7,9,0,7,6,15,16,3,16,9,0,0,0,1,24,3,0,0,17
13,1,1,1,2,5,5,2,6,1,7,9,8,8,11,4,13,11,13,15,7,15,7,5,14,25,7,7,15
14,1,0,0,3,0,0,0,4,3,4,8,12,1,5,1,0,4,7,11,18,8,16,14,5,13,8,20,7
15,1,1,1,2,5,6,7,2,2,7,0,0,4,10,9,15,3,5,1,1,1,1,4,15,15,21,21,25
16,1,1,2,0,1,1,6,1,0,6,2,4,11,0,8,5,17,2,18,6,18,22,19,12,16,22,22,21
18,1,1,1,2,2,6,1,7,7,10,6,5,0,14,2,4,8,3,1,5,1,1,15,0,23,1,1,13
19,1,0,2,0,1,1,6,1,0,6,3,1,10,1,8,6,17,0,17,6,6,6,22,20,18,6,6,9
20,0,2,3,4,4,5,5,3,6,0,9,8,8,3,12,0,7,17,14,18,5,18,18,19,4,5,5,2
21,1,1,1,2,5,6,7,2,2,8,3,10,2,1,2,11,14,18,10,1,21,21,23,2,15,6,10,12
22,1,1,2,2,1,5,2,6,1,7,9,10,8,11,9,13,11,18,6,7,7,7,21,14,25,7,7,15
23,0,2,3,4,4,3,5,3,6,0,2,4,11,0,12,5,7,2,18,18,18,22,19,12,16,22,22,21
24,1,1,2,0,1,5,2,6,0,7,3,10,2,11,9,13,11,18,6,7,7,7,21,14,25,7,7,15
25,1,0,0,3,0,2,3,8,8,5,4,3,12,2,5,8,16,1,2,5,20,20,12,23,6,16,16,22
26,1,1,2,2,1,6,2,6,1,7,3,10,2,11,9,13,11,18,6,7,7,7,21,14,25,7,7,15
27,1,0,0,3,1,5,2,6,1,7,9,10,1,11,4,13,6,13,6,20,16,7,21,1,5,20,7,18
28,1,1,1,2,2,6,1,7,7,10,6,0,7,14,2,4,3,5,1,0,1,1,15,24,23,0,0,12
29,1,1,2,0,2,5,2,6,7,1,6,0,4,8,10,12,3,5,1,15,1,1,15,7,23,1,1,23
30,1,0,0,3,0,0,0,4,3,4,8,12,1,5,1,14,2,7,11,16,0,16,1,5,13,0,26,28
31,1,1,2,0,1,5,6,1,0,7,3,10,2,1,9,11,14,18,17,7,21,7,21,2,25,6,7,0
32,1,1,2,2,2,6,1,7,0,6,3,10,2,1,9,11,14,18,17,1,21,21,23,24,3,6,0,12
34,1,0,0,3,1,1,6,1,0,6,3,10,2,12,7,11,14,10,5,16,2,2,2,17,12,2,2,0
35,1,1,1,2,5,6,7,2,7,10,6,5,0,14,2,4,8,3,16,5,14,14,15,0,23,10,14,16
36,1,1,2,0,1,1,6,1,0,6,3,10,2,1,8,11,14,0,17,6,6,6,22,20,18,6,6,9
37,1,1,1,2,5,6,7,2,2,10,6,5,0,14,2,4,8,3,16,14,14,14,0,0,11,14,14,13
38,1,0,0,3,0,1,0,0,5,2,7,1,10,12,7,6,10,10,5,16,2,2,2,22,12,2,2,28
39,1,0,0,3,0,1,0,0,5,2,7,1,10,12,7,6,10,10,5,16,2,2,2,22,12,2,2,28
40,0,2,3,4,4,3,5,3,6,0,10,11,6,13,13,10,9,6,19,4,4,4,10,8,10,4,4,11
41,0,2,3,4,4,3,5,3,6,0,10,11,6,13,13,10,9,6,19,4,4,4,10,8,10,4,4,11
42,1,0,0,3,0,1,6,1,0,6,3,1,10,1,8,11,13,0,17,6,17,6,22,9,18,17,6,19
43,1,1,2,0,1,1,6,1,0,6,3,10,2,1,8,11,14,0,17,6,6,6,22,20,18,6,6,9
44,1,1,2,0,1,5,6,1,0,6,3,10,2,1,8,11,14,0,17,6,6,6,22,20,18,6,6,9
45,1,1,2,0,1,5,2,6,0,5,3,10,2,1,5,11,14,0,17,5,1,1,22,15,18,6,21,12
46,1,0,0,3,0,2,3,8,8,5,4,3,12,2,12,1,7,1,2,18,18,20,7,19,16,16,16,21
47,1,0,0,3,0,2,3,8,8,5,4,3,12,2,12,1,7,1,2,18,18,20,7,17,16,16,16,21
48,1,0,0,3,0,1,6,1,0,6,3,1,10,1,8,11,13,0,17,6,17,6,22,9,18,17,6,19
49,1,0,2,0,1,1,6,1,0,7,3,10,2,1,9,11,14,18,17,1,21,7,22,2,18,6,6,0
50,1,1,1,2,5,6,7,2,2,8,0,9,13,10,6,15,16,9,1,5,10,1,16,21,23,16,25,16
51,1,1,2,0,1,5,2,6,1,7,3,10,2,1,9,11,3,5,1,20,1,1,4,15,5,21,21,25
52,1,1,2,2,1,6,7,1,0,7,3,10,2,1,9,11,14,18,10,1,21,21,23,2,15,6,10,0
53,1,1,1,2,5,6,7,2,2,8,0,9,13,10,6,15,5,9,10,10,10,21,23,11,15,10,10,26
55,1,1,1,2,5,6,7,2,2,10,6,0,0,14,2,4,16,3,1,5,14,1,16,21,23,16,1,16
56,1,0,0,3,0,2,3,8,8,5,4,3,12,2,5,8,13,1,2,17,17,17,12,9,21,17,17,19
57,1,0,0,3,0,1,6,1,5,2,7,1,10,12,7,6,14,10,5,2,21,20,2,17,12,6,16,0
58,1,1,2,0,1,1,6,1,0,6,3,4,11,1,8,11,17,0,17,6,6,6,22,20,18,22,6,9
59,1,1,1,2,5,6,7,2,2,7,3,10,2,10,9,11,14,18,10,1,21,21,23,2,15,6,7,12
60,1,0,2,0,1,1,6,1,6,6,2,4,11,0,8,5,17,0,17,6,6,6,22,20,18,22,22,9
61,1,0,0,3,0,1,6,1,5,2,7,1,10,12,7,6,14,10,5,2,21,20,2,17,12,6,16,0
62,1,1,2,0,1,5,1,1,7,10,2,4,11,0,12,5,7,2,18,6,18,22,19,12,16,22,22,21
63,1,1,2,0,1,1,6,1,0,6,3,4,11,1,8,11,17,0,17,6,6,6,22,20,18,22,6,9
64,1,1,2,0,2,6,1,7,0,6,3,10,2,1,2,11,14,0,17,1,21,21,22,24,18,6,6,12
65,1,1,2,0,1,1,6,1,0,6,2,4,11,0,8,5,17,0,17,6,6,22,19,20,16,22,22,9
66,1,1,1,2,5,6,7,2,2,8,0,9,0,10,2,15,5,9,16,5,10,10,8,11,1,25,25,26
67,1,1,1,2,1,6,7,2,2,5,4,3,12,2,12,1,7,1,2,2,20,20,7,17,1,16,16,21
68,1,1,2,0,1,5,2,6,1,7,9,0,4,11,9,13,3,5,1,20,1,7,4,15,5,21,21,25
69,1,0,2,0,1,1,6,1,0,6,7,1,10,12,8,6,10,0,17,16,2,6,22,22,18,2,6,28
70,1,0,0,3,0,2,3,8,8,5,4,3,12,2,5,8,0,1,2,12,12,12,6,23,6,12,12,22
71,1,0,0,3,0,2,3,8,8,5,4,3,12,2,5,8,13,1,2,20,16,20,12,1,6,20,16,18
72,1,2,2,0,1,5,2,6,1,7,9,8,8,11,4,13,6,13,6,7,15,7,5,14,25,7,7,14
73,1,1,2,0,2,5,1,7,0,6,2,7,7,6,15,16,2,16,9,0,0,0,1,24,3,0,0,17
74,1,1,2,0,1,5,2,6,1,7,9,0,4,11,9,13,3,5,1,20,1,7,4,15,5,21,21,25
75,1,0,2,0,1,1,6,1,0,6,7,1,10,12,8,6,10,0,17,16,2,6,22,22,18,2,6,28
76,1,1,1,2,5,6,7,2,2,8,0,9,13,10,6,15,5,9,10,10,10,10,8,11,15,10,25,26
77,1,1,2,0,1,5,2,6,1,1,9,0,4,8,10,12,3,5,1,20,1,1,4,15,5,21,21,3
78,1,0,0,0,2,1,6,0,5,6,7,1,10,12,7,6,10,0,9,6,0,0,1,20,3,0,26,9
79,1,0,2,0,1,1,6,1,6,6,2,4,11,0,8,5,17,2,18,6,6,22,19,12,16,22,22,9
