,BIC,AIC,sil_score,Cluster,time,homogeneity,Completeness,Adj_Mutual_info
0,54421.63539738803,54289.45510560203,0.37740640020590704,2,0.1428402090095915,0.7897396446097567,0.7897740949504866,0.7897189421973275
1,34770.78933274323,34569.3717452598,0.16773511879205863,3,0.29656045901356265,0.5040158523797467,0.3345076273697629,0.4019564760577658
2,29375.244276187324,29104.589393006463,0.21028632921418278,4,0.32244150002952665,0.504559739341259,0.2614121755060822,0.3441516832927326
3,27993.951384201522,27654.059205323232,0.21548417119810961,5,0.5619014159892686,0.5057289166019319,0.22141939451478865,0.30768840909435097
4,27577.74459065507,27168.615116079352,0.16392891390346806,6,0.47009558300487697,0.573066767192944,0.23246440668267573,0.33040845872965574
5,26672.985585294544,26194.618815021393,0.17612947417121264,7,0.4146200419636443,0.6302578621100376,0.24412762480056788,0.35154253371687216
6,26158.255944147768,25610.65187817719,0.18569605202575287,8,0.6036192079773173,0.5106660731448653,0.17714349362847226,0.26256132063168147
7,23771.158040233855,23154.316678565847,0.18128969727439956,9,0.6237184589845128,0.6822522590902759,0.23205251390402454,0.3458343915103428
8,22832.49912646541,22146.42046909997,0.16971323066333496,10,0.7043124590418302,0.562947171421938,0.1790900393334662,0.27116173239727315
9,22656.628005160026,21901.312052097157,0.17916376856471594,11,0.8958715840126388,0.6533156518657696,0.19562881865294504,0.3005147983014972
10,21479.521179290732,20654.967930530434,0.14422703296585856,12,1.1080042499816045,0.6231123591751658,0.18875147758056693,0.2890795511083749
11,19541.637082381334,18647.846537923608,0.17080995774142146,13,0.8914937090012245,0.6499299647727548,0.18636141947719406,0.28897691213819554
12,18369.903785022096,17406.875944866937,0.1946016553508439,14,1.2015493329963647,0.671849745105344,0.18363579878350175,0.2877158626213859
13,17781.16334445962,16748.898208607032,0.20118542477036103,15,1.2011825000518002,0.7031651387290946,0.18880397990585626,0.29692565967926526
14,17030.288952428247,15928.786520878231,0.20203008508978734,16,1.8667227500118315,0.6723495880899184,0.17473158140284517,0.2765684310039851
15,16718.46986851346,15547.730141266014,0.22787145264702763,17,1.6724604579503648,0.7254231140942484,0.18088924885300217,0.28875071921659173
16,16783.893023553377,15543.9160006085,0.23347190096711704,18,1.1645145830116235,0.7283115967484576,0.17989774054677254,0.2876599665709149
17,16152.449432019257,14843.235113376952,0.2233437612041869,19,1.1180791669758037,0.7970297582218937,0.19357350932311163,0.3106177217974512
18,15794.178619944152,14415.727005604418,0.19880144339552225,20,1.2935085840290412,0.7485721302105306,0.18388522601676716,0.2942867887887569
19,15708.663569162438,14260.974659125273,0.23222043272884274,21,1.5352881249855272,0.7691653360052926,0.18232925383258275,0.2938016763826106
20,13872.970318434942,12356.044112700349,0.2125195105467966,22,1.6605405840091407,0.7797826234805683,0.17934401002444805,0.29061012340600506
21,13565.773808620463,11979.610307188439,0.22408463095170666,23,1.8866982500185259,0.7220442631192135,0.16317651266486813,0.2651162881396614
22,12997.084207076234,11341.683409946781,0.2232627147113726,24,2.6540340410429053,0.7873318881051149,0.17407661340699468,0.28403634057646326
23,13202.354080785977,11477.715987959094,0.2070019618293315,25,2.982607542013284,0.8216786253323183,0.18585701027650633,0.30202574531659904
24,13104.461720715954,11310.58633219164,0.21883334380666852,26,1.9381002089940012,0.7474960370224842,0.16192031105850893,0.2649968640749081
25,13571.646537086348,11708.533852864606,0.22527127206608422,27,2.317978708015289,0.7630757386749983,0.16678262003952934,0.27250570261339047
26,12995.002888314928,11062.652908395758,0.2425180950619442,28,2.1573689579963684,0.836355692275628,0.1796020603715533,0.29448343396193644
27,11673.91156376249,9672.324288145888,0.24385898909258477,29,2.557497124944348,0.8086244602424809,0.17394332666640097,0.2850153138037672
