,0,1,2,3,4,5,6,7,8,9,10,11
0,0.5276353,1.3324368,-3.639924,3.9785948,-0.38213158,-0.61085194,0.63624173,1.1839246,1.0390975,-2.849643,-0.449237,-0.27620244
1,-0.5899248,-3.023374,-0.7984988,4.0239153,0.2831078,-1.1684086,0.48491758,0.27264136,-0.113635585,1.5882707,0.16344191,0.8956144
2,0.6985602,1.2247908,0.33308905,3.7208161,-1.1742606,-0.31383082,0.6812014,0.07015387,-0.04177938,1.3875128,3.9016101,0.96701473
3,0.5234003,0.33067322,-0.23565163,4.0758343,-1.0216475,0.65230334,-1.2824441,-0.18601836,0.078375205,0.35510537,1.0108944,-3.2695916
4,-0.14006516,-2.2103329,-3.0064297,4.138976,-0.3413604,0.6412536,0.037308384,0.35399327,-0.28496692,-0.062504984,-0.9059228,-1.5183092
5,0.6880554,0.76346356,0.20514815,4.201466,-0.8373446,0.03739146,-0.31136703,-0.16530405,-0.38047588,0.61259073,-0.07468447,-1.2796562
6,0.2578471,-1.2571608,-2.7642517,3.4435213,-1.2691983,-0.34859154,0.77470595,0.8343401,0.56126624,-1.1504095,4.8200216,0.5049056
7,0.3241459,-1.2529734,-2.7660458,3.437992,-1.1675452,-0.3770274,0.776924,0.8698858,0.5592687,-0.96514887,4.8663173,0.28568053
8,0.39053932,-0.08240071,-0.1152279,4.26067,-1.0262102,-0.36400455,0.39074245,0.33372286,-1.5806724,-2.2565558,-0.82855034,-0.95589757
9,-0.14006516,-2.2103329,-3.0064297,4.138976,-0.3413604,0.6412536,0.037308384,0.35399327,-0.28496692,-0.062504984,-0.9059228,-1.5183092
10,0.50260377,1.8133373,0.3213484,4.1727543,-0.69700074,0.63308936,-1.3672816,-0.7955478,0.3491705,-0.5626935,-0.5353762,-0.3288336
11,0.048404388,0.2655432,-0.88816416,4.0042014,-0.53989655,-0.3119528,-0.9279067,-0.36771667,0.8260984,-1.1308249,0.19411625,-0.045394402
12,-0.3881635,0.8592455,-0.17155592,4.1600018,-1.1897453,0.19099893,-1.4557377,-0.81775355,1.0304805,-1.2846351,-0.46708116,-0.35429054
13,-0.69296193,-1.6513852,0.7394593,4.0305314,-0.013305998,-0.00839091,-0.1160981,0.55857265,-0.06474256,-2.4004297,0.16486034,0.18194412
14,-0.33865422,-1.6032444,0.9062563,4.02304,-0.2745923,-0.13103078,0.19812448,0.75138533,-0.42548457,-2.38432,0.54706854,0.17197596
