,mean_fit_time,mean_test_score,mean_train_score,batch_size,hidden_layer_sizes,learning_rate_init,momentum,random_state,best_match_batch_size,best_match_hidden_layer_sizes,best_match_learning_rate_init,best_match_momentum,best_match_random_state
0,1.2693108558654784,-0.1409732217997001,-0.14012290023990365,8,"(16,)",1e-04,1e-04,1,False,False,False,True,True
1,1.182760238647461,-0.1409732217997001,-0.14012290023990365,8,"(16,)",1e-04,0.00097162795,1,False,False,False,False,True
2,1.088249111175537,-0.1409732217997001,-0.14012290023990365,8,"(16,)",1e-04,0.009440608,1,False,False,False,False,True
3,1.0872823238372802,-0.1409732217997001,-0.14012290023990365,8,"(16,)",1e-04,0.09172759,1,False,False,False,False,True
4,1.0999396324157715,-0.1409732217997001,-0.14012290023990365,8,"(16,)",1e-04,0.8912509,1,False,False,False,False,True
5,0.6010146141052246,-0.13180531878350607,-0.13153377664242766,8,"(16,)",0.0005623413,1e-04,1,False,False,False,True,True
6,0.575348949432373,-0.13180531878350607,-0.13153377664242766,8,"(16,)",0.0005623413,0.00097162795,1,False,False,False,False,True
7,0.5719688415527344,-0.13180531878350607,-0.13153377664242766,8,"(16,)",0.0005623413,0.009440608,1,False,False,False,False,True
8,0.566405963897705,-0.13180531878350607,-0.13153377664242766,8,"(16,)",0.0005623413,0.09172759,1,False,False,False,False,True
9,0.5618368625640869,-0.13180531878350607,-0.13153377664242766,8,"(16,)",0.0005623413,0.8912509,1,False,False,False,False,True
10,0.6067647457122802,-0.08228065917213595,-0.08063536699499936,8,"(16,)",0.0031622776,1e-04,1,False,False,True,True,True
11,0.6211658000946045,-0.08228065917213595,-0.08063536699499936,8,"(16,)",0.0031622776,0.00097162795,1,False,False,True,False,True
12,0.6189626693725586,-0.08228065917213595,-0.08063536699499936,8,"(16,)",0.0031622776,0.009440608,1,False,False,True,False,True
13,0.6004759788513183,-0.08228065917213595,-0.08063536699499936,8,"(16,)",0.0031622776,0.09172759,1,False,False,True,False,True
14,0.6006978034973145,-0.08228065917213595,-0.08063536699499936,8,"(16,)",0.0031622776,0.8912509,1,False,False,True,False,True
15,0.6175504684448242,-0.08836280665720815,-0.08402089637955704,8,"(16,)",0.017782794,1e-04,1,False,False,False,True,True
16,0.6255430221557617,-0.08836280665720815,-0.08402089637955704,8,"(16,)",0.017782794,0.00097162795,1,False,False,False,False,True
17,0.6153150081634522,-0.08836280665720815,-0.08402089637955704,8,"(16,)",0.017782794,0.009440608,1,False,False,False,False,True
18,0.6045078754425048,-0.08836280665720815,-0.08402089637955704,8,"(16,)",0.017782794,0.09172759,1,False,False,False,False,True
19,0.6107240200042725,-0.08836280665720815,-0.08402089637955704,8,"(16,)",0.017782794,0.8912509,1,False,False,False,False,True
20,0.5819336414337158,-0.08549100572476463,-0.08403537126645845,8,"(16,)",0.1,1e-04,1,False,False,False,True,True
21,0.6603196620941162,-0.08549100572476463,-0.08403537126645845,8,"(16,)",0.1,0.00097162795,1,False,False,False,False,True
22,0.7263587951660156,-0.08549100572476463,-0.08403537126645845,8,"(16,)",0.1,0.009440608,1,False,False,False,False,True
23,0.5949824333190918,-0.08549100572476463,-0.08403537126645845,8,"(16,)",0.1,0.09172759,1,False,False,False,False,True
24,0.5970426559448242,-0.08549100572476463,-0.08403537126645845,8,"(16,)",0.1,0.8912509,1,False,False,False,False,True
25,0.6243509292602539,-0.3088186853203179,-0.3082111497232076,8,"(32,)",1e-04,1e-04,1,False,False,False,True,True
26,0.6483473300933837,-0.3088186853203179,-0.3082111497232076,8,"(32,)",1e-04,0.00097162795,1,False,False,False,False,True
27,0.6455399990081787,-0.3088186853203179,-0.3082111497232076,8,"(32,)",1e-04,0.009440608,1,False,False,False,False,True
28,0.6337688446044922,-0.3088186853203179,-0.3082111497232076,8,"(32,)",1e-04,0.09172759,1,False,False,False,False,True
29,0.651298999786377,-0.3088186853203179,-0.3082111497232076,8,"(32,)",1e-04,0.8912509,1,False,False,False,False,True
30,0.5035534381866456,-0.25795593913268827,-0.2576571255110318,8,"(32,)",0.0005623413,1e-04,1,False,False,False,True,True
31,0.4792469501495361,-0.25795593913268827,-0.2576571255110318,8,"(32,)",0.0005623413,0.00097162795,1,False,False,False,False,True
32,0.48865156173706054,-0.25795593913268827,-0.2576571255110318,8,"(32,)",0.0005623413,0.009440608,1,False,False,False,False,True
33,0.5082812786102295,-0.25795593913268827,-0.2576571255110318,8,"(32,)",0.0005623413,0.09172759,1,False,False,False,False,True
34,0.4853175640106201,-0.25795593913268827,-0.2576571255110318,8,"(32,)",0.0005623413,0.8912509,1,False,False,False,False,True
35,0.589888334274292,-0.08252589878291132,-0.08104524653242373,8,"(32,)",0.0031622776,1e-04,1,False,False,True,True,True
36,0.5994402408599854,-0.08252589878291132,-0.08104524653242373,8,"(32,)",0.0031622776,0.00097162795,1,False,False,True,False,True
37,0.6517724514007568,-0.08252589878291132,-0.08104524653242373,8,"(32,)",0.0031622776,0.009440608,1,False,False,True,False,True
38,0.6947334289550782,-0.08252589878291132,-0.08104524653242373,8,"(32,)",0.0031622776,0.09172759,1,False,False,True,False,True
39,0.5920508861541748,-0.08252589878291132,-0.08104524653242373,8,"(32,)",0.0031622776,0.8912509,1,False,False,True,False,True
40,0.6590323448181152,-0.08988483709349344,-0.0867768466305731,8,"(32,)",0.017782794,1e-04,1,False,False,False,True,True
41,0.6499512195587158,-0.08988483709349344,-0.0867768466305731,8,"(32,)",0.017782794,0.00097162795,1,False,False,False,False,True
