,mean_fit_time,mean_test_score,mean_train_score,batch_size,hidden_layer_sizes,learning_rate_init,momentum,random_state,best_match_batch_size,best_match_hidden_layer_sizes,best_match_learning_rate_init,best_match_momentum,best_match_random_state
0,0.6726662635803222,-0.15974652166998993,-0.1590446896059829,8,"(16,)",1e-04,1e-04,1,True,False,False,True,True
1,0.660950756072998,-0.15974652166998993,-0.1590446896059829,8,"(16,)",1e-04,0.00097162795,1,True,False,False,False,True
2,0.6386761665344238,-0.15974652166998993,-0.1590446896059829,8,"(16,)",1e-04,0.009440608,1,True,False,False,False,True
3,0.6392260551452636,-0.15974652166998993,-0.1590446896059829,8,"(16,)",1e-04,0.09172759,1,True,False,False,False,True
4,0.6387908935546875,-0.15974652166998993,-0.1590446896059829,8,"(16,)",1e-04,0.8912509,1,True,False,False,False,True
5,0.4987208366394043,-0.1271003859545794,-0.12547718766250018,8,"(16,)",0.0005623413,1e-04,1,True,False,False,True,True
6,0.5629400730133056,-0.1271003859545794,-0.12547718766250018,8,"(16,)",0.0005623413,0.00097162795,1,True,False,False,False,True
7,0.5475892543792724,-0.1271003859545794,-0.12547718766250018,8,"(16,)",0.0005623413,0.009440608,1,True,False,False,False,True
8,0.6478399276733399,-0.1271003859545794,-0.12547718766250018,8,"(16,)",0.0005623413,0.09172759,1,True,False,False,False,True
9,0.5251024723052978,-0.1271003859545794,-0.12547718766250018,8,"(16,)",0.0005623413,0.8912509,1,True,False,False,False,True
10,0.5997718811035156,-0.08041379640416944,-0.07256714012275792,8,"(16,)",0.0031622776,1e-04,1,True,False,False,True,True
11,0.596203088760376,-0.08041379640416944,-0.07256714012275792,8,"(16,)",0.0031622776,0.00097162795,1,True,False,False,False,True
12,0.6152666091918946,-0.08041379640416944,-0.07256714012275792,8,"(16,)",0.0031622776,0.009440608,1,True,False,False,False,True
13,0.6012030601501465,-0.08041379640416944,-0.07256714012275792,8,"(16,)",0.0031622776,0.09172759,1,True,False,False,False,True
14,0.6163486003875732,-0.08041379640416944,-0.07256714012275792,8,"(16,)",0.0031622776,0.8912509,1,True,False,False,False,True
15,0.615000581741333,-0.08390077711185479,-0.07069178361976931,8,"(16,)",0.017782794,1e-04,1,True,False,True,True,True
16,0.619070291519165,-0.08390077711185479,-0.07069178361976931,8,"(16,)",0.017782794,0.00097162795,1,True,False,True,False,True
17,0.6232904434204102,-0.08390077711185479,-0.07069178361976931,8,"(16,)",0.017782794,0.009440608,1,True,False,True,False,True
18,0.6374560832977295,-0.08390077711185479,-0.07069178361976931,8,"(16,)",0.017782794,0.09172759,1,True,False,True,False,True
19,0.6270844459533691,-0.08390077711185479,-0.07069178361976931,8,"(16,)",0.017782794,0.8912509,1,True,False,True,False,True
20,0.5287614345550538,-0.10991748581082117,-0.09026211794647243,8,"(16,)",0.1,1e-04,1,True,False,False,True,True
21,0.5196837425231934,-0.10991748581082117,-0.09026211794647243,8,"(16,)",0.1,0.00097162795,1,True,False,False,False,True
22,0.5370280742645264,-0.10991748581082117,-0.09026211794647243,8,"(16,)",0.1,0.009440608,1,True,False,False,False,True
23,0.5297101020812989,-0.10991748581082117,-0.09026211794647243,8,"(16,)",0.1,0.09172759,1,True,False,False,False,True
24,0.5385109901428222,-0.10991748581082117,-0.09026211794647243,8,"(16,)",0.1,0.8912509,1,True,False,False,False,True
25,0.9194439888000489,-0.10686622024613601,-0.10437090241855247,8,"(32,)",1e-04,1e-04,1,True,True,False,True,True
26,0.910482931137085,-0.10686622024613601,-0.10437090241855247,8,"(32,)",1e-04,0.00097162795,1,True,True,False,False,True
27,0.9163855075836181,-0.10686622024613601,-0.10437090241855247,8,"(32,)",1e-04,0.009440608,1,True,True,False,False,True
28,0.9271000385284424,-0.10686622024613601,-0.10437090241855247,8,"(32,)",1e-04,0.09172759,1,True,True,False,False,True
29,0.9237338066101074,-0.10686622024613601,-0.10437090241855247,8,"(32,)",1e-04,0.8912509,1,True,True,False,False,True
30,0.5878367900848389,-0.08096785367331116,-0.07825366242078588,8,"(32,)",0.0005623413,1e-04,1,True,True,False,True,True
31,0.5879467964172364,-0.08096785367331116,-0.07825366242078588,8,"(32,)",0.0005623413,0.00097162795,1,True,True,False,False,True
32,0.6004307746887207,-0.08096785367331116,-0.07825366242078588,8,"(32,)",0.0005623413,0.009440608,1,True,True,False,False,True
33,0.5913836002349854,-0.08096785367331116,-0.07825366242078588,8,"(32,)",0.0005623413,0.09172759,1,True,True,False,False,True
34,0.5831351757049561,-0.08096785367331116,-0.07825366242078588,8,"(32,)",0.0005623413,0.8912509,1,True,True,False,False,True
35,0.5350628852844238,-0.07908075309922737,-0.07424619677332576,8,"(32,)",0.0031622776,1e-04,1,True,True,False,True,True
36,0.5407466888427734,-0.07908075309922737,-0.07424619677332576,8,"(32,)",0.0031622776,0.00097162795,1,True,True,False,False,True
37,0.5427171230316162,-0.07908075309922737,-0.07424619677332576,8,"(32,)",0.0031622776,0.009440608,1,True,True,False,False,True
38,0.5443095207214356,-0.07908075309922737,-0.07424619677332576,8,"(32,)",0.0031622776,0.09172759,1,True,True,False,False,True
39,0.5373712062835694,-0.07908075309922737,-0.07424619677332576,8,"(32,)",0.0031622776,0.8912509,1,True,True,False,False,True
40,0.749941635131836,-0.0767680422514038,-0.06484807677975983,8,"(32,)",0.017782794,1e-04,1,True,True,True,True,True
