,Mean Recon Error,Recon Error Std,Random N Components
0,10.136152,0.49665144,2
1,8.973298,0.49521098,3
2,8.06566,0.42552868,4
3,6.852845,0.2649894,5
4,5.745205,0.598851,6
5,4.912867,0.31901395,7
6,3.948372,0.20199732,8
7,3.0696938,0.20073377,9
8,2.1521375,0.18389529,10
9,1.0078539,0.18630688,11
10,0.4,0.48989794,12
