,0,1,2,3,4,5,6,7,8,9,10
0,-3.361019,0.9089257,2.2390652,0.8862674,1.4193361,2.1366684,1.1292824,-2.431938,2.2685926,3.17673,2.170984
1,-3.573656,3.3195436,3.8875813,-0.80010056,0.22739358,0.85232383,-0.025054336,-2.4779406,1.8600875,1.158006,1.1184455
2,-2.9301631,2.4692402,3.4100287,-3.311821,-0.29799098,1.9799676,2.8873143,-2.7079535,1.7122333,0.45004088,1.5539787
3,-2.790278,2.0275304,3.9255824,0.08511966,1.85432,1.6697946,1.114636,-2.845961,2.7415485,0.6451797,2.243573
4,-3.0392816,1.6471283,3.9690583,0.7698562,1.577524,1.3482394,0.8101768,-2.7999585,3.8720908,1.6992102,2.5339284
5,-2.7790875,2.3773158,3.2097104,-0.578323,0.53834367,0.44623327,0.5407487,-2.7539558,1.7183139,0.74147904,1.6628621
6,-3.1763716,1.6982466,3.3002517,-2.1691663,1.349139,4.1095166,3.56691,-2.7079535,3.0661943,2.2570791,2.2798674
7,-3.2183383,1.7402132,3.4323258,-2.0584579,1.4785321,4.1363726,3.609844,-2.7079535,3.188722,2.1669717,2.2798674
8,-2.8770063,2.576836,1.5834304,0.099608764,0.7965872,-0.35744303,0.23919022,-2.7079535,-0.19088793,2.3116465,1.4813899
9,-3.0392816,1.6471283,3.9690583,0.7698562,1.577524,1.3482394,0.8101768,-2.7999585,3.8720908,1.6992102,2.5339284
10,-2.8854015,2.168832,3.2148092,-0.65725315,0.27257067,0.79862905,0.17437387,-2.7539558,1.5379839,1.034791,1.989512
11,-3.1735766,2.2875826,3.0956595,-0.36593157,0.9102596,1.683347,0.0681946,-2.7079535,1.6618766,1.7981191,1.8080398
12,-2.7315302,2.0054195,2.793637,-0.5116773,0.49288368,1.1713747,-0.52263474,-2.7539558,1.2049536,1.6042384,1.8806286
13,-3.4057899,3.1409006,2.6008935,-0.13141984,0.3426271,0.7577952,0.33508724,-2.0179148,-0.25334853,2.6208751,1.5539787
14,-3.2910807,3.1485074,2.3210568,-0.42547792,0.21672748,0.709862,0.67146796,-2.0179148,-0.40420073,2.6191907,1.4450955
15,-3.1903665,2.282108,3.702719,-0.7998633,0.36847112,1.8317027,0.110607654,-2.431938,2.0290751,1.8946788,1.8806286
16,-3.2043524,2.0625362,4.606881,-0.94898987,-0.29234895,1.6047224,0.13276985,-2.2939303,3.146192,0.90895206,1.8806286
17,-3.4645467,2.282877,4.150995,0.50634944,0.6756463,2.3595095,0.032523513,-1.7879019,2.8420541,1.9573101,1.6265676
18,-3.2043524,2.0625362,4.606881,-0.94898987,-0.29234895,1.6047224,0.13276985,-2.2939303,3.146192,0.90895206,1.8806286
19,-3.4645467,2.282877,4.150995,0.50634944,0.6756463,2.3595095,0.032523513,-1.7879019,2.8420541,1.9573101,1.6265676
20,-3.064467,2.3644962,4.019855,-0.57041156,0.5577216,1.5716538,0.13674283,-2.6159482,2.6809063,1.5134426,2.0983953
21,-3.229529,2.8589993,3.925403,-1.2408965,-0.13427997,0.06027621,1.035027,-2.7999585,2.1361487,0.8356913,1.916923
22,-3.4673421,1.9591975,4.120302,0.4647327,1.6848712,1.5865202,0.30152395,-2.7079535,2.655094,1.37133,1.9532175
23,-2.5077572,2.5648587,4.063331,-0.18392414,0.81922066,1.3476408,0.19353846,-2.845961,4.090703,2.1512427,2.3887508
24,-2.5077572,2.5648587,4.063331,-0.18392414,0.81922066,1.3476408,0.19353846,-2.845961,4.090703,2.1512427,2.3887508
25,-3.5400891,1.1216593,4.8526173,1.1025043,1.9818039,4.091675,2.6552029,-1.7879019,5.035903,2.3373606,2.7879896
26,-3.822669,2.3178093,3.9900603,1.0423708,1.6600904,3.0693297,1.5335848,-1.7879019,3.1421256,2.780235,1.9532175
27,-3.3638234,0.19511259,2.9882152,1.3625727,2.3412316,3.701282,0.99371755,-2.6159482,4.429235,3.1293993,2.3887508
28,-3.2211337,1.2148815,3.561815,0.53970504,1.2179992,1.4895365,0.99410754,-2.7079535,3.490902,1.7887714,2.3161619
29,-3.2882855,1.6644602,3.0976713,0.6606613,1.0986195,3.926926,1.6558329,-1.3278761,2.561938,3.600691,2.1346896
30,-3.2882855,1.6644602,3.0976713,0.6606613,1.0986195,3.926926,1.6558329,-1.3278761,2.561938,3.600691,2.1346896
31,-2.7511158,2.3517897,3.62155,-0.3702944,0.4474237,0.6612061,-0.10842,-2.7539558,1.9445721,1.0525612,2.170984
32,-2.790278,1.7471006,3.7741597,-2.0571797,-1.2468158,1.6796398,2.0760674,-2.0179148,2.4604454,1.5982803,2.497634
33,-3.6687794,3.0642486,4.3407235,-0.9354335,-0.9515631,1.0916069,0.7886796,-1.6958967,1.8156804,1.608291,1.7354509
34,-3.9877305,1.6228142,5.5801363,0.82310706,1.5111787,4.7771797,2.0038533,-1.4658837,5.4636054,2.177726,2.3524563
35,-3.5680563,2.015137,3.1453805,1.3058753,0.4359336,1.6645314,0.8137643,-1.3278761,1.6784961,2.687065,1.6991565
36,-3.215543,2.9103134,3.038759,-0.037356198,0.6279188,0.2783094,0.4867916,-2.3399327,0.51783055,2.1610863,1.8443341
37,-4.7039566,2.292996,5.364293,2.180245,2.7232275,4.5533595,0.3281981,-1.7879019,4.1511235,3.078435,2.3887508
38,-6.293085,3.538061,6.1104317,3.908557,4.8412137,3.109027,1.1716695,-2.5699456,3.886935,3.036872,2.5702229
39,-5.526497,3.0189939,5.5890617,3.2772548,4.186978,2.3216615,0.8773374,-2.845961,4.016749,2.5466197,2.5339284
40,-4.1919637,2.1558683,4.32188,1.9075503,1.8325351,2.4334521,1.0918455,-1.879907,3.2848952,2.6287751,2.2072785
41,-3.7890794,1.6589785,3.3564703,0.36997175,1.9752624,2.833007,1.6170077,-2.5699456,2.8701944,2.260851,1.8806286
42,-3.7890794,1.6589785,3.3564703,0.36997175,1.9752624,2.833007,1.6170077,-2.5699456,2.8701944,2.260851,1.8806286
43,-3.8254552,1.6327493,4.9466376,1.2996453,1.8182786,3.3934546,0.9307435,-2.1559224,5.0248017,2.3125935,2.5339284
44,-4.0296884,4.1978736,3.8485231,-0.47985375,0.1265358,-0.92524636,-0.9627422,-2.5239432,-0.32382393,0.9216814,0.7917956
45,-4.2758965,4.325245,4.8425426,-0.15011644,-0.5543673,0.42595774,0.0035682917,-1.4198812,0.92932117,0.991357,0.86438453
46,-4.4101915,0.7467909,5.5786495,2.4667416,2.5928683,5.1324472,2.0792391,-1.557889,6.213628,2.897151,2.8968728
47,-4.390606,3.097384,5.5254097,0.9258347,1.8972759,1.6983137,1.4328572,-2.4779406,3.3647666,1.530856,2.5702229
48,-4.161187,3.4264224,5.3799596,-0.75581264,0.5663812,1.1080652,0.53804636,-2.7539558,3.278007,0.5215603,1.6628621
49,-4.653595,3.1556683,5.6557946,0.44789732,1.8016583,2.4391909,0.83028114,-2.5239432,3.82822,1.4566448,1.9532175
50,-4.035288,3.3005228,5.335408,-0.9377651,0.44048166,1.139869,0.65464276,-2.7539558,3.359355,0.47650665,1.6991565
51,-3.6380033,3.3480935,4.620399,-1.2453246,0.06681895,0.15300661,1.2916708,-2.7999585,2.2977483,0.64229697,1.989512
52,-3.5372984,0.85382116,4.506689,1.8153603,1.9859371,6.117288,0.65303,-1.0978632,5.2831755,3.7752116,2.3161619
53,-3.1623769,2.5627587,2.0555103,0.36409733,0.031751037,0.655884,0.30475673,-1.6038916,-1.8064692,2.7292013,2.062101
54,-3.1344051,3.0901003,3.483514,-1.4809983,-2.0031562,0.8039088,0.24880648,-1.1898683,0.77186537,1.5142193,0.9732678
55,-4.2003584,2.1992645,4.1373205,1.8441055,2.1873624,2.7869725,0.19986409,-2.0179148,2.854595,3.077985,2.0258064
56,-3.660389,1.6749611,3.7093985,1.2378922,1.9317652,3.4167094,1.8398811,-1.6958967,2.9169664,2.775395,2.0983953
57,-4.0632687,1.8143432,4.5007668,1.7883475,2.949464,3.5211208,1.5476292,-2.2939303,4.211438,2.6931665,2.425045
58,-3.4057899,0.86729443,3.4894786,1.4672866,2.5120485,3.491549,0.6774747,-2.5699456,4.2781987,2.8293731,2.3524563
59,-3.556866,2.903091,4.942543,-0.5339778,0.90032184,1.2247795,1.0171559,-2.7539558,2.8069181,0.51191604,2.2798674
60,-4.3710203,3.7123194,4.044196,0.93992114,1.901312,0.8494209,0.3285647,-2.5239432,1.1078033,2.0365307,1.6265676
61,-2.913382,0.44775152,4.322489,1.2626367,1.9164451,2.9452164,1.1990731,-2.4779406,5.3127265,1.6837873,2.7879896
62,-4.270297,1.3134432,5.3005724,2.4511435,2.9942625,3.1122856,1.7396777,-2.3859353,5.2943845,2.2416568,3.0057561
63,-3.2575276,1.1813076,5.121019,1.7705405,2.6298761,3.7196803,0.7105293,-2.4779406,6.275425,2.0869584,2.7154007
64,-4.3654294,2.8990245,4.392207,1.4620361,1.941748,3.059249,1.5278723,-1.6498941,2.756427,2.989655,2.0258064
65,-3.2575276,1.1813076,5.121019,1.7705405,2.6298761,3.7196803,0.7105293,-2.4779406,6.275425,2.0869584,2.7154007
66,-3.4477565,2.0441027,4.446288,1.5148982,2.7034695,1.3389845,0.88262856,-2.9379663,3.8388271,1.3958509,2.3887508
67,-3.215543,1.8569609,3.105103,-0.6391494,1.9162072,3.5023828,1.7798723,-2.7539558,2.5400941,2.6012344,2.3161619
68,-5.3166647,3.781024,4.7734976,3.0490878,2.8202133,2.1702297,1.4832516,-1.557889,1.8584126,3.4396465,2.243573
69,-3.8590267,4.0572743,4.1919365,-0.4435897,0.088062674,-0.8979651,-0.8538149,-2.5239432,0.2922697,0.4864699,0.9006789
70,-4.3150587,3.6845946,3.1116734,1.7260029,2.6788962,-0.6626243,0.53305256,-3.075974,0.13487062,2.1501994,1.8080398
71,-5.0061088,3.6770465,4.0053196,2.5836127,2.8679843,0.90624714,0.48396352,-2.201925,0.5721457,2.8440332,1.8080398
