,Recon Error,K neighbours,N Components
0,12.187763639769871,5,2
1,10.947525865403211,5,3
2,10.180757922790562,5,4
3,9.468984934006961,5,5
4,8.996698081850706,5,6
5,8.536318833397795,5,7
6,8.169509040804487,5,8
7,7.8719269725391605,5,9
8,7.642144139189712,5,10
9,7.443779763343647,5,11
10,7.288687814252563,5,12
11,6.8859716447495645,10,2
12,5.928899224642236,10,3
13,5.249975071311159,10,4
14,4.822792149124927,10,5
15,4.573158903016824,10,6
16,4.353192307459873,10,7
17,4.135601491491007,10,8
18,3.947803858054535,10,9
19,3.859551389358925,10,10
20,3.7857783340988203,10,11
21,3.7260287994343453,10,12
22,6.208147753094179,20,2
23,5.489607380704893,20,3
24,5.04662042520789,20,4
25,4.6911021955376135,20,5
26,4.373939397602011,20,6
27,4.1627095520692325,20,7
28,4.003145547282924,20,8
29,3.851277330907948,20,9
30,3.762511557846645,20,10
31,3.6937706983658867,20,11
32,3.635100651469735,20,12
33,6.02925230552601,40,2
34,5.157111928302069,40,3
35,4.6943621881647655,40,4
36,4.362169279394701,40,5
37,4.162663471765616,40,6
38,3.9931506538870623,40,7
39,3.855729368110617,40,8
40,3.7386903071214466,40,9
41,3.6314750380729066,40,10
42,3.582979295590795,40,11
43,3.552042037323535,40,12
44,5.529433982788629,60,2
45,4.65357545385322,60,3
46,4.235312847490814,60,4
47,3.858660755293947,60,5
48,3.6154050987478246,60,6
49,3.453622440654612,60,7
50,3.3173641159833687,60,8
51,3.20199829880584,60,9
52,3.101225773846935,60,10
53,3.050006949816283,60,11
54,3.0151247265398378,60,12
55,4.8044480335041575,100,2
56,4.053065246688261,100,3
57,3.6852126039450783,100,4
58,3.3410516582865983,100,5
59,3.1256753408431637,100,6
60,2.968864445344227,100,7
61,2.826935221668923,100,8
62,2.7146692491781086,100,9
63,2.6249728050667183,100,10
64,2.562843336032682,100,11
65,2.5249373761119704,100,12
66,3.7494723427528522,200,2
67,3.121385717825372,200,3
68,2.738895591096983,200,4
69,2.353554906570296,200,5
70,2.144672323716399,200,6
71,1.9668760047017018,200,7
72,1.8245243152920132,200,8
73,1.7206459023278864,200,9
74,1.639530970496519,200,10
75,1.600848255293947,200,11
76,1.5782967624431927,200,12
