,0,1,2,3,4,5,6,7
0,3.426767,3.601998,-0.086249255,-1.3321393,-0.74318784,-0.808584,1.0102168,0.40428534
1,-1.4548205,-0.093896866,-0.5052873,-0.38338524,0.5507688,-0.92860544,-0.44774166,0.2845747
2,-0.6493489,0.6256573,1.1329023,-0.029140387,-1.0502409,-0.65472037,-0.82716316,-0.06251809
3,1.336446,1.3167899,-0.14688893,0.03259441,0.37731832,0.4451829,-0.7046746,-0.500912
4,1.3364457,1.3167901,-0.14688893,0.032594472,0.37731832,0.4451829,-0.7046747,-0.500912
5,-0.64934903,0.6256575,1.1329026,-0.029140528,-1.0502409,-0.6547206,-0.8271632,-0.062518135
6,-0.017955547,0.44252446,-1.3334818,-1.4230082,0.14393081,-0.2504563,0.22003934,-0.5803565
7,3.4267676,3.6019988,-0.08624946,-1.3321395,-0.743188,-0.8085837,1.0102164,0.4042854
8,-1.4548202,-0.093896866,-0.5052872,-0.3833853,0.5507691,-0.9286057,-0.44774157,0.2845748
9,-0.2782267,-0.52501005,1.7802067,0.772194,-0.22983582,-0.013048462,-0.977415,-0.28043738
10,-0.5099715,-2.5328104,3.0307555,0.047412213,-0.65195566,-0.12298112,1.1245161,-0.20209005
11,-0.65698284,0.40815195,2.1749656,0.3785377,-1.242095,-0.71537745,-0.16809973,-0.7681338
12,-0.89053905,-1.6006583,1.9314537,0.97639495,-0.264635,-0.72118294,0.8794105,-0.6866947
13,0.30586246,-2.3710015,-1.1273164,2.1656036,0.79541814,-0.22440608,-0.5629399,0.21012093
14,2.320795,4.186742,1.7658165,0.6162782,-1.7094592,0.38090527,0.47694692,1.8639163
15,-0.43137562,-1.7494895,0.4186873,1.0220755,0.49892142,-0.612578,0.27418712,0.23875132
16,-0.8266576,-1.1153893,-1.7687485,-2.7083569,-0.112854145,0.71644545,-0.44968146,-1.2251676
17,-0.0010090992,-1.4435109,1.5085015,0.47883937,0.3140592,0.82580703,0.037928544,0.17099708
