,0,1,2,3,4,5,6,7
0,-6.4462714,2.3416219,4.8979216,1.3338773,-2.4918823,-0.5942015,-0.21639746,-1.924314
1,-11.305437,3.1387298,-1.0345111,0.3665659,-1.4599152,0.26081073,-1.0550954,0.25404269
2,-12.414448,2.5360384,-0.9968375,-2.3633337,2.8490887,-0.531152,-0.43451706,-0.55380774
3,-7.921545,2.5961215,2.8560448,-0.23952502,-0.1836553,1.1731197,-1.176638,-1.0392509
4,-7.683274,2.7095535,4.144423,0.5349614,-2.11726,0.97771835,-1.4587045,-1.1821064
5,-9.392058,2.6420574,-0.18682843,0.123671114,-0.30072725,-1.1025012,-1.667151,-0.33303285
6,-8.795196,6.2861667,4.6483417,-1.101126,2.3977418,-0.5635246,0.3777886,-0.8855755
7,-8.81267,6.343103,4.6669874,-1.1236668,2.4095871,-0.5359584,0.42419264,-0.8737912
8,-8.229599,1.2963479,1.0629963,0.33118516,-0.75597084,-2.0213103,-0.92727274,-0.60688347
9,-7.683274,2.7095535,4.144423,0.5349614,-2.11726,0.97771835,-1.4587045,-1.1821064
10,-8.631921,3.4610505,0.21080336,0.71717453,-0.5100713,-0.11501217,-2.0090954,-0.9048408
11,-8.083404,4.1576576,1.9803649,1.6450402,-1.0913019,0.54551035,-1.5739195,-1.3956281
12,-7.632701,4.1487293,1.9040399,1.32918,-1.230053,1.4325423,-1.8225724,-1.49032
13,-8.20166,2.5061471,-1.009152,2.2425182,-0.8980137,-0.88172674,0.010470033,-0.26800847
14,-8.521164,1.8189881,-0.78180075,1.6184616,-0.5310659,-1.6060051,0.22365183,-0.35487795
15,-8.944603,4.854355,2.198106,1.7858005,-0.8635627,1.2266788,-1.5730807,-1.2894322
16,-10.673264,4.9130096,1.5387278,0.11220306,-1.0931447,2.762018,-2.034463,-0.6767641
17,-9.377517,4.213738,2.233855,2.407738,-1.7822529,0.28679526,-0.69900876,-0.042214513
18,-10.673264,4.9130096,1.5387278,0.11220306,-1.0931447,2.762018,-2.034463,-0.6767641
